X,Y,I,In
0.65,8.1606,5,0.0271739130434783
0.65,8.17575,1,0.00543478260869565
0.65,8.1909,5,0.0271739130434783
0.65,8.20605,5,0.0271739130434783
0.65,8.2212,4,0.0217391304347826
0.65,8.23635,7,0.0380434782608696
0.65,8.2515,7,0.0380434782608696
0.65,8.26665,10,0.0543478260869565
0.65,8.2818,8,0.0434782608695652
0.65,8.29695,8,0.0434782608695652
0.65,8.3121,4,0.0217391304347826
0.65,8.32725,8,0.0434782608695652
0.65,8.3424,6,0.0326086956521739
0.65,8.3576,11,0.0597826086956522
0.65,8.37275,19,0.103260869565217
0.65,8.3879,21,0.114130434782609
0.65,8.40305,42,0.228260869565217
0.65,8.4182,79,0.429347826086957
0.65,8.43335,77,0.418478260869565
0.65,8.4485,105,0.570652173913043
0.65,8.46365,131,0.71195652173913
0.65,8.4788,129,0.701086956521739
0.65,8.49395,120,0.652173913043478
0.65,8.5091,114,0.619565217391304
0.65,8.52425,116,0.630434782608696
0.65,8.5394,124,0.673913043478261
0.65,8.55455,130,0.706521739130435
0.65,8.5697,155,0.842391304347826
0.65,8.58485,174,0.945652173913043
0.65,8.6,147,0.798913043478261
0.65,8.61515,121,0.657608695652174
0.65,8.6303,119,0.646739130434783
0.65,8.64545,160,0.869565217391304
0.65,8.6606,134,0.728260869565217
0.65,8.67575,152,0.826086956521739
0.65,8.6909,128,0.695652173913043
